Uthmani,Simple
عَلَّمَهُ,علمه
فَلْيَكْتُبْ,فليكتب
وَلْيُمْلِلِ,وليملل
وَلْيَتَّقِ,وليتق
رَبَّهُۥ,ربه
يَبْخَسْ,يبخس
سَفِيهًا,سفيها
ضَعِيفًا,ضعيفا
يَسْتَطِيعُ,يستطيع
يُمِلَّ,يمل
فَلْيُمْلِلْ,فليملل
وَلِيُّهُۥ,وليه
وَٱسْتَشْهِدُوا۟,واستشهدوا
شَهِيدَيْنِ,شهيدين
رِّجَالِكُمْ,رجالكم
يَكُونَا,يكونا
رَجُلَيْنِ,رجلين
فَرَجُلٌ,فرجل
وَٱمْرَأَتَانِ,وامرأتان
تَرْضَوْنَ,ترضون
ٱلشُّهَدَآءِ,الشهداء
تَضِلَّ,تضل
إِحْدَىٰهُمَا,إحداهما
فَتُذَكِّرَ,فتذكر
ٱلْأُخْرَىٰ,الأخرى
ٱلشُّهَدَآءُ,الشهداء
دُعُوا۟,دعوا
تَسْـَٔمُوٓا۟,تسأموا
تَكْتُبُوهُ,تكتبوه
صَغِيرًا,صغيرا
كَبِيرًا,كبيرا
أَجَلِهِۦ,أجله
أَقْسَطُ,أقسط
وَأَقْوَمُ,وأقوم
لِلشَّهَٰدَةِ,للشهادة
وَأَدْنَىٰٓ,وأدنى
تَرْتَابُوٓا۟,ترتابوا
تِجَٰرَةً,تجارة
حَاضِرَةً,حاضرة
تُدِيرُونَهَا,تديرونها
تَكْتُبُوهَا,تكتبوها
وَأَشْهِدُوٓا۟,وأشهدوا
تَبَايَعْتُمْ,تبايعتم
يُضَآرَّ,يضار
شَهِيدٌ,شهيد
فُسُوقٌۢ,فسوق
بِكُمْ,بكم
تَجِدُوا۟,تجدوا
كَاتِبًا,كاتبا
فَرِهَٰنٌ,فرهان
مَّقْبُوضَةٌ,مقبوضة
أَمِنَ,أمن
بَعْضُكُم,بعضكم
بَعْضًا,بعضا
فَلْيُؤَدِّ,فليؤد
ٱؤْتُمِنَ,اؤتمن
أَمَٰنَتَهُۥ,أمانته
تَكْتُمُوا۟,تكتموا
ٱلشَّهَٰدَةَ,الشهادة
يَكْتُمْهَا,يكتمها
فَإِنَّهُۥٓ,فإنه
ءَاثِمٌ,آثم
قَلْبُهُۥ,قلبه
تُخْفُوهُ,تخفوه
يُحَاسِبْكُم,يحاسبكم
فَيَغْفِرُ,فيغفر
وَيُعَذِّبُ,ويعذب
وَٱلْمُؤْمِنُونَ,والمؤمنون
وَكُتُبِهِۦ,وكتبه
رُّسُلِهِۦ,رسله
وَأَطَعْنَا,وأطعنا
غُفْرَانَكَ,غفرانك
وَإِلَيْكَ,وإليك
يُكَلِّفُ,يكلف
وَعَلَيْهَا,وعليها
ٱكْتَسَبَتْ,اكتسبت
تُؤَاخِذْنَآ,تؤاخذنا
نَّسِينَآ,نسينا
أَخْطَأْنَا,أخطأنا
تَحْمِلْ,تحمل
إِصْرًا,إصرا
حَمَلْتَهُۥ,حملته
قَبْلِنَا,قبلنا
تُحَمِّلْنَا,تحملنا
وَٱعْفُ,واعف
عَنَّا,عنا
وَٱغْفِرْ,واغفر
وَٱرْحَمْنَآ,وارحمنا
مَوْلَىٰنَا,مولانا
فَٱنصُرْنَا,فانصرنا
ٱلتَّوْرَىٰةَ,التوراة
وَٱلْإِنجِيلَ,والإنجيل
ٱلْفُرْقَانَ,الفرقان
شَدِيدٌ,شديد
ٱنتِقَامٍ,انتقام
يَخْفَىٰ,يخفى
يُصَوِّرُكُمْ,يصوركم
ٱلْأَرْحَامِ,الأرحام
ءَايَٰتٌ,آيات
مُّحْكَمَٰتٌ,محكمات
أُمُّ,أم
وَأُخَرُ,وأخر
مُتَشَٰبِهَٰتٌ,متشابهات
زَيْغٌ,زيغ
فَيَتَّبِعُونَ,فيتبعون
ٱلْفِتْنَةِ,الفتنة
وَٱبْتِغَآءَ,وابتغاء
تَأْوِيلِهِۦ,تأويله
تَأْوِيلَهُۥٓ,تأويله
وَٱلرَّٰسِخُونَ,والراسخون
رَبِّنَا,ربنا
تُزِغْ,تزغ
قُلُوبَنَا,قلوبنا
هَدَيْتَنَا,هديتنا
وَهَبْ,وهب
لَّدُنكَ,لدنك
رَحْمَةً,رحمة
ٱلْوَهَّابُ,الوهاب
جَامِعُ,جامع
لِيَوْمٍ,ليوم
يُخْلِفُ,يخلف
ٱلْمِيعَادَ,الميعاد
تُغْنِىَ,تغني
عَنْهُمْ,عنهم
أَمْوَٰلُهُمْ,أموالهم
أَوْلَٰدُهُم,أولادهم
وَقُودُ,وقود
كَدَأْبِ,كدأب
قَبْلِهِمْ,قبلهم
كَذَّبُوا۟,كذبوا
بِـَٔايَٰتِنَا,بآياتنا
فَأَخَذَهُمُ,فأخذهم
بِذُنُوبِهِمْ,بذنوبهم
سَتُغْلَبُونَ,ستغلبون
وَتُحْشَرُونَ,وتحشرون
جَهَنَّمَ,جهنم
فِئَتَيْنِ,فئتين
ٱلْتَقَتَا,التقتا
فِئَةٌ,فئة
تُقَٰتِلُ,تقاتل
وَأُخْرَىٰ,وأخرى
كَافِرَةٌ,كافرة
يَرَوْنَهُم,يرونهم
مِّثْلَيْهِمْ,مثليهم
رَأْىَ,رأي
ٱلْعَيْنِ,العين
يُؤَيِّدُ,يؤيد
بِنَصْرِهِۦ,بنصره
لَعِبْرَةً,لعبرة
لِّأُو۟لِى,لأولي
ٱلْأَبْصَٰرِ,الأبصار
حُبُّ,حب
ٱلشَّهَوَٰتِ,الشهوات
وَٱلْبَنِينَ,والبنين
وَٱلْقَنَٰطِيرِ,والقناطير
ٱلْمُقَنطَرَةِ,المقنطرة
ٱلذَّهَبِ,الذهب
وَٱلْفِضَّةِ,والفضة
وَٱلْخَيْلِ,والخيل
ٱلْمُسَوَّمَةِ,المسومة
وَٱلْأَنْعَٰمِ,والأنعام
وَٱلْحَرْثِ,والحرث
مَتَٰعُ,متاع
حُسْنُ,حسن
ٱلْمَـَٔابِ,المآب
أَؤُنَبِّئُكُم,أؤنبئكم
جَنَّٰتٌ,جنات
وَأَزْوَٰجٌ,وأزواج
وَرِضْوَٰنٌ,ورضوان
إِنَّنَآ,إننا
فَٱغْفِرْ,فاغفر
ذُنُوبَنَا,ذنوبنا
وَٱلصَّٰدِقِينَ,والصادقين
وَٱلْقَٰنِتِينَ,والقانتين
وَٱلْمُنفِقِينَ,والمنفقين
وَٱلْمُسْتَغْفِرِينَ,والمستغفرين
بِٱلْأَسْحَارِ,بالأسحار
أَنَّهُۥ,أنه
وَأُو۟لُوا۟,وأولو
قَآئِمًۢا,قائما
بِٱلْقِسْطِ,بالقسط
ٱلْإِسْلَٰمُ,الإسلام
جَآءَهُمُ,جاءهم
ٱلْعِلْمُ,العلم
حَآجُّوكَ,حاجوك
فَقُلْ,فقل
وَجْهِىَ,وجهي
وَمَنِ,ومن
ٱتَّبَعَنِ,اتبعن
وَقُل,وقل
وَٱلْأُمِّيِّۦنَ,والأميين
ءَأَسْلَمْتُمْ,أأسلمتم
أَسْلَمُوا۟,أسلموا
ٱلْبَلَٰغُ,البلاغ
حَقٍّ,حق
يَأْمُرُونَ,يأمرون
فَبَشِّرْهُم,فبشرهم
بِعَذَابٍ,بعذاب
أَلِيمٍ,أليم
نَّٰصِرِينَ,ناصرين
نَصِيبًا,نصيبا
يُدْعَوْنَ,يدعون
كِتَٰبِ,كتاب
يَتَوَلَّىٰ,يتولى
وَهُم,وهم
وَغَرَّهُمْ,وغرهم
دِينِهِم,دينهم
يَفْتَرُونَ,يفترون
فَكَيْفَ,فكيف
جَمَعْنَٰهُمْ,جمعناهم
وَوُفِّيَتْ,ووفيت
ٱللَّهُمَّ,اللهم
مَٰلِكَ,مالك
ٱلْمُلْكِ,الملك
تُؤْتِى,تؤتي
تَشَآءُ,تشاء
وَتَنزِعُ,وتنزع
وَتُعِزُّ,وتعز
وَتُذِلُّ,وتذل
بِيَدِكَ,بيدك
ٱلْخَيْرُ,الخير
تُولِجُ,تولج
ٱلَّيْلَ,الليل
ٱلنَّهَارِ,النهار
وَتُولِجُ,وتولج
ٱلنَّهَارَ,النهار
وَتُخْرِجُ,وتخرج
ٱلْحَىَّ,الحي
ٱلْمَيِّتِ,الميت
ٱلْمَيِّتَ,الميت
ٱلْحَىِّ,الحي
وَتَرْزُقُ,وترزق
يَتَّخِذِ,يتخذ
ٱلْمُؤْمِنُونَ,المؤمنون
أَوْلِيَآءَ,أولياء
تَتَّقُوا۟,تتقوا
تُقَىٰةً,تقاة
وَيُحَذِّرُكُمُ,ويحذركم
تُخْفُوا۟,تخفوا
صُدُورِكُمْ,صدوركم
تُبْدُوهُ,تبدوه
وَيَعْلَمُ,ويعلم
تَجِدُ,تجد
عَمِلَتْ,عملت
مُّحْضَرًا,محضرا
سُوٓءٍ,سوء
تَوَدُّ,تود
بَيْنَهَا,بينها
وَبَيْنَهُۥٓ,وبينه
أَمَدًۢا,أمدا
بَعِيدًا,بعيدا
تُحِبُّونَ,تحبون
فَٱتَّبِعُونِى,فاتبعوني
يُحْبِبْكُمُ,يحببكم
وَيَغْفِرْ,ويغفر
ذُنُوبَكُمْ,ذنوبكم
أَطِيعُوا۟,أطيعوا
وَٱلرَّسُولَ,والرسول
ٱصْطَفَىٰٓ,اصطفى
وَنُوحًا,ونوحا
وَءَالَ,وآل
إِبْرَٰهِيمَ,إبراهيم
عِمْرَٰنَ,عمران
ذُرِّيَّةًۢ,ذرية
بَعْضُهَا,بعضها
قَالَتِ,قالت
ٱمْرَأَتُ,امرأت
نَذَرْتُ,نذرت
بَطْنِى,بطني
مُحَرَّرًا,محررا
فَتَقَبَّلْ,فتقبل
وَضَعَتْهَا,وضعتها
قَالَتْ,قالت
وَضَعْتُهَآ,وضعتها
أُنثَىٰ,أنثى
وَضَعَتْ,وضعت
ٱلذَّكَرُ,الذكر
كَٱلْأُنثَىٰ,كالأنثى
وَإِنِّى,وإني
سَمَّيْتُهَا,سميتها
وَإِنِّىٓ,وإني
أُعِيذُهَا,أعيذها
بِكَ,بك
وَذُرِّيَّتَهَا,وذريتها
ٱلرَّجِيمِ,الرجيم
فَتَقَبَّلَهَا,فتقبلها
رَبُّهَا,ربها
بِقَبُولٍ,بقبول
حَسَنٍ,حسن
وَأَنۢبَتَهَا,وأنبتها
نَبَاتًا,نباتا
وَكَفَّلَهَا,وكفلها
زَكَرِيَّا,زكريا
دَخَلَ,دخل
ٱلْمِحْرَابَ,المحراب
وَجَدَ,وجد
عِندَهَا,عندها
يَٰمَرْيَمُ,يا مريم
لَكِ,لك
هُنَالِكَ,هنالك
دَعَا,دعا
هَبْ,هب
ذُرِّيَّةً,ذرية
طَيِّبَةً,طيبة
سَمِيعُ,سميع
ٱلدُّعَآءِ,الدعاء
فَنَادَتْهُ,فنادته
قَآئِمٌ,قائم
يُصَلِّى,يصلي
ٱلْمِحْرَابِ,المحراب
يُبَشِّرُكَ,يبشرك
بِيَحْيَىٰ,بيحيى
مُصَدِّقًۢا,مصدقا
بِكَلِمَةٍ,بكلمة
وَسَيِّدًا,وسيدا
وَحَصُورًا,وحصورا
وَنَبِيًّا,ونبيا
غُلَٰمٌ,غلام
بَلَغَنِىَ,بلغني
وَٱمْرَأَتِى,وامرأتي
عَاقِرٌ,عاقر
ٱجْعَل,اجعل
لِّىٓ,لي
ءَايَتُكَ,آيتك
تُكَلِّمَ,تكلم
رَمْزًا,رمزا
وَٱذْكُر,واذكر
رَّبَّكَ,ربك
وَسَبِّحْ,وسبح
بِٱلْعَشِىِّ,بالعشي
وَٱلْإِبْكَٰرِ,والإبكار
ٱصْطَفَىٰكِ,اصطفاك
وَطَهَّرَكِ,وطهرك
وَٱصْطَفَىٰكِ,واصطفاك
نِسَآءِ,نساء
ٱقْنُتِى,اقنتي
لِرَبِّكِ,لربك
وَٱسْجُدِى,واسجدي
وَٱرْكَعِى,واركعي
أَنۢبَآءِ,أنباء
ٱلْغَيْبِ,الغيب
نُوحِيهِ,نوحيه
لَدَيْهِمْ,لديهم
يُلْقُونَ,يلقون
أَقْلَٰمَهُمْ,أقلامهم
أَيُّهُمْ,أيهم
يَكْفُلُ,يكفل
يَخْتَصِمُونَ,يختصمون
يُبَشِّرُكِ,يبشرك
ٱسْمُهُ,اسمه
ٱلْمَسِيحُ,المسيح
ٱبْنُ,ابن
وَجِيهًا,وجيها
ٱلْمُقَرَّبِينَ,المقربين
وَيُكَلِّمُ,ويكلم
ٱلْمَهْدِ,المهد
وَكَهْلًا,وكهلا
وَلَدٌ,ولد
يَمْسَسْنِى,يمسسني
بَشَرٌ,بشر
كَذَٰلِكِ,كذلك
يَخْلُقُ,يخلق
وَيُعَلِّمُهُ,ويعلمه
وَٱلتَّوْرَىٰةَ,والتوراة
وَرَسُولًا,ورسولا
أَنِّى,أني
جِئْتُكُم,جئتكم
بِـَٔايَةٍ,بآية
أَنِّىٓ,أني
أَخْلُقُ,أخلق
ٱلطِّينِ,الطين
كَهَيْـَٔةِ,كهيئة
فَأَنفُخُ,فأنفخ
طَيْرًۢا,طيرا
وَأُبْرِئُ,وأبرئ
ٱلْأَكْمَهَ,الأكمه
وَٱلْأَبْرَصَ,والأبرص
وَأُحْىِ,وأحيي
وَأُنَبِّئُكُم,وأنبئكم
تَأْكُلُونَ,تأكلون
تَدَّخِرُونَ,تدخرون
بُيُوتِكُمْ,بيوتكم
وَمُصَدِّقًا,ومصدقا
يَدَىَّ,يدي
ٱلتَّوْرَىٰةِ,التوراة
وَلِأُحِلَّ,ولأحل
حُرِّمَ,حرم
وَجِئْتُكُم,وجئتكم
وَأَطِيعُونِ,وأطيعون
رَبِّى,ربي
فَٱعْبُدُوهُ,فاعبدوه
صِرَٰطٌ,صراط
مُّسْتَقِيمٌ,مستقيم
أَحَسَّ,أحس
عِيسَىٰ,عيسى
مِنْهُمُ,منهم
أَنصَارِىٓ,أنصاري
ٱلْحَوَارِيُّونَ,الحواريون
أَنصَارُ,أنصار
وَٱشْهَدْ,واشهد
بِأَنَّا,بأنا
أَنزَلْتَ,أنزلت
وَٱتَّبَعْنَا,واتبعنا
فَٱكْتُبْنَا,فاكتبنا
ٱلشَّٰهِدِينَ,الشاهدين
وَمَكَرُوا۟,ومكروا
وَمَكَرَ,ومكر
خَيْرُ,خير
ٱلْمَٰكِرِينَ,الماكرين
يَٰعِيسَىٰٓ,يا عيسى
مُتَوَفِّيكَ,متوفيك
وَرَافِعُكَ,ورافعك
إِلَىَّ,إلي
وَمُطَهِّرُكَ,ومطهرك
وَجَاعِلُ,وجاعل
ٱتَّبَعُوكَ,اتبعوك
فَوْقَ,فوق
مَرْجِعُكُمْ,مرجعكم
فَأَحْكُمُ,فأحكم
تَخْتَلِفُونَ,تختلفون
فَأُعَذِّبُهُمْ,فأعذبهم
عَذَابًا,عذابا
شَدِيدًا,شديدا
فَيُوَفِّيهِمْ,فيوفيهم
أُجُورَهُمْ,أجورهم
نَتْلُوهُ,نتلوه
وَٱلذِّكْرِ,والذكر
ٱلْحَكِيمِ,الحكيم
مَثَلَ,مثل
خَلَقَهُۥ,خلقه
تُرَابٍ,تراب
تَكُن,تكن
حَآجَّكَ,حاجك
تَعَالَوْا۟,تعالوا
نَدْعُ,ندع
أَبْنَآءَنَا,أبناءنا
وَأَبْنَآءَكُمْ,وأبناءكم
وَنِسَآءَنَا,ونساءنا
وَنِسَآءَكُمْ,ونساءكم
وَأَنفُسَنَا,وأنفسنا
وَأَنفُسَكُمْ,وأنفسكم
نَبْتَهِلْ,نبتهل
فَنَجْعَل,فنجعل
لَّعْنَتَ,لعنت
ٱلْكَٰذِبِينَ,الكاذبين
لَهُوَ,لهو
ٱلْقَصَصُ,القصص
إِلَٰهٍ,إله
بِٱلْمُفْسِدِينَ,بالمفسدين
يَٰٓأَهْلَ,يا أهل
كَلِمَةٍ,كلمة
سَوَآءٍۭ,سواء
بَيْنَنَا,بيننا
وَبَيْنَكُمْ,وبينكم
نَعْبُدَ,نعبد
نُشْرِكَ,نشرك
يَتَّخِذَ,يتخذ
بَعْضُنَا,بعضنا
أَرْبَابًا,أربابا
فَقُولُوا۟,فقولوا
ٱشْهَدُوا۟,اشهدوا
لِمَ,لم
تُحَآجُّونَ,تحاجون
أُنزِلَتِ,أنزلت
ٱلتَّوْرَىٰةُ,التوراة
وَٱلْإِنجِيلُ,والإنجيل
بَعْدِهِۦٓ,بعده
هَٰٓأَنتُمْ,ها أنتم
حَٰجَجْتُمْ,حاججتم
عِلْمٌ,علم
إِبْرَٰهِيمُ,إبراهيم
يَهُودِيًّا,يهوديا
نَصْرَانِيًّا,نصرانيا
مُّسْلِمًا,مسلما
أَوْلَى,أولى
بِإِبْرَٰهِيمَ,بإبراهيم
لَلَّذِينَ,للذين
ٱتَّبَعُوهُ,اتبعوه
وَهَٰذَا,وهذا
ٱلنَّبِىُّ,النبي
وَدَّت,ودت
طَّآئِفَةٌ,طائفة
يُضِلُّونَكُمْ,يضلونكم
يُضِلُّونَ,يضلون
تَلْبِسُونَ,تلبسون
وَتَكْتُمُونَ,وتكتمون
وَقَالَت,وقالت
بِٱلَّذِىٓ,بالذي
وَجْهَ,وجه
وَٱكْفُرُوٓا۟,واكفروا
ءَاخِرَهُۥ,آخره
تُؤْمِنُوٓا۟,تؤمنوا
دِينَكُمْ,دينكم
يُؤْتَىٰٓ,يؤتى
أَحَدٌ,أحد
أُوتِيتُمْ,أوتيتم
يُحَآجُّوكُمْ,يحاجوكم
بِيَدِ,بيد
يُؤْتِيهِ,يؤتيه
تَأْمَنْهُ,تأمنه
بِقِنطَارٍ,بقنطار
يُؤَدِّهِۦٓ,يؤده
بِدِينَارٍ,بدينار
دُمْتَ,دمت
قَآئِمًا,قائما
ٱلْأُمِّيِّۦنَ,الأميين
سَبِيلٌ,سبيل
وَيَقُولُونَ,ويقولون
ٱلْكَذِبَ,الكذب
أَوْفَىٰ,أوفى
بِعَهْدِهِۦ,بعهده
وَٱتَّقَىٰ,واتقى
يَشْتَرُونَ,يشترون
بِعَهْدِ,بعهد
وَأَيْمَٰنِهِمْ,وأيمانهم
خَلَٰقَ,خلاق
يَنظُرُ,ينظر
إِلَيْهِمْ,إليهم
لَفَرِيقًا,لفريقا
يَلْوُۥنَ,يلوون
أَلْسِنَتَهُم,ألسنتهم
بِٱلْكِتَٰبِ,بالكتاب
لِتَحْسَبُوهُ,لتحسبوه
لِبَشَرٍ,لبشر
يُؤْتِيَهُ,يؤتيه
وَٱلْحُكْمَ,والحكم
وَٱلنُّبُوَّةَ,والنبوة
عِبَادًا,عبادا
لِّى,لي
رَبَّٰنِيِّۦنَ,ربانيين
تُعَلِّمُونَ,تعلمون
وَبِمَا,وبما
تَدْرُسُونَ,تدرسون
يَأْمُرَكُمْ,يأمركم
تَتَّخِذُوا۟,تتخذوا
ٱلْمَلَٰٓئِكَةَ,الملائكة
أَيَأْمُرُكُم,أيأمركم
بِٱلْكُفْرِ,بالكفر
أَنتُم,أنتم
أَخَذَ,أخذ
لَمَآ,لما
ءَاتَيْتُكُم,آتيتكم
كِتَٰبٍ,كتاب
وَحِكْمَةٍ,وحكمة
مُّصَدِّقٌ,مصدق
لَتُؤْمِنُنَّ,لتؤمنن
وَلَتَنصُرُنَّهُۥ,ولتنصرنه
ءَأَقْرَرْتُمْ,أأقررتم
وَأَخَذْتُمْ,وأخذتم
إِصْرِى,إصري
أَقْرَرْنَا,أقررنا
فَٱشْهَدُوا۟,فاشهدوا
وَأَنَا۠,وأنا
مَعَكُم,معكم
أَفَغَيْرَ,أفغير
دِينِ,دين
يَبْغُونَ,يبغون
وَلَهُۥٓ,وله
طَوْعًا,طوعا
وَكَرْهًا,وكرها
يُرْجَعُونَ,يرجعون
عَلَىٰٓ,على
وَٱلنَّبِيُّونَ,والنبيون
يَبْتَغِ,يبتغ
ٱلْإِسْلَٰمِ,الإسلام
دِينًا,دينا
يُقْبَلَ,يقبل
قَوْمًا,قوما
إِيمَٰنِهِمْ,إيمانهم
وَشَهِدُوٓا۟,وشهدوا
حَقٌّ,حق
وَجَآءَهُمُ,وجاءهم
جَزَآؤُهُمْ,جزاؤهم
لَعْنَةَ,لعنة
ٱزْدَادُوا۟,ازدادوا
كُفْرًا,كفرا
لَّن,لن
تُقْبَلَ,تقبل
تَوْبَتُهُمْ,توبتهم
ٱلضَّآلُّونَ,الضالون
أَحَدِهِم,أحدهم
مِّلْءُ,ملء
ذَهَبًا,ذهبا
وَلَوِ,ولو
ٱفْتَدَىٰ,افتدى
تَنَالُوا۟,تنالوا
ٱلطَّعَامِ,الطعام
حِلًّا,حلا
لِّبَنِىٓ,لبني
إِسْرَٰٓءِيلُ,إسرائيل
نَفْسِهِۦ,نفسه
تُنَزَّلَ,تنزل
بِٱلتَّوْرَىٰةِ,بالتوراة
فَٱتْلُوهَآ,فاتلوها
ٱفْتَرَىٰ,افترى
صَدَقَ,صدق
فَٱتَّبِعُوا۟,فاتبعوا
بَيْتٍ,بيت
وُضِعَ,وضع
لَلَّذِى,للذي
بِبَكَّةَ,ببكة
مُبَارَكًا,مباركا
لِّلْعَٰلَمِينَ,للعالمين
ءَايَٰتٌۢ,آيات
بَيِّنَٰتٌ,بينات
مَّقَامُ,مقام
دَخَلَهُۥ,دخله
حِجُّ,حج
ٱسْتَطَاعَ,استطاع
سَبِيلًا,سبيلا
تَصُدُّونَ,تصدون
تَبْغُونَهَا,تبغونها
عِوَجًا,عوجا
شُهَدَآءُ,شهداء
تُطِيعُوا۟,تطيعوا
يَرُدُّوكُم,يردوكم
كَٰفِرِينَ,كافرين
وَكَيْفَ,وكيف
تُتْلَىٰ,تتلى
وَفِيكُمْ,وفيكم
رَسُولُهُۥ,رسوله
يَعْتَصِم,يعتصم
هُدِىَ,هدي
تُقَاتِهِۦ,تقاته
وَٱعْتَصِمُوا۟,واعتصموا
بِحَبْلِ,بحبل
تَفَرَّقُوا۟,تفرقوا
أَعْدَآءً,أعداء
فَأَلَّفَ,فألف
قُلُوبِكُمْ,قلوبكم
فَأَصْبَحْتُم,فأصبحتم
بِنِعْمَتِهِۦٓ,بنعمته
إِخْوَٰنًا,إخوانا
شَفَا,شفا
حُفْرَةٍ,حفرة
فَأَنقَذَكُم,فأنقذكم
مِّنْهَا,منها
وَلْتَكُن,ولتكن
ٱلْخَيْرِ,الخير
وَيَأْمُرُونَ,ويأمرون
وَيَنْهَوْنَ,وينهون
ٱلْمُنكَرِ,المنكر
كَٱلَّذِينَ,كالذين
وَٱخْتَلَفُوا۟,واختلفوا
تَبْيَضُّ,تبيض
وُجُوهٌ,وجوه
وَتَسْوَدُّ,وتسود
ٱسْوَدَّتْ,اسودت
وُجُوهُهُمْ,وجوههم
أَكَفَرْتُم,أكفرتم
فَذُوقُوا۟,فذوقوا
ٱبْيَضَّتْ,ابيضت
فَفِى,ففي
رَحْمَةِ,رحمة
ظُلْمًا,ظلما
أُمَّةٍ,أمة
أُخْرِجَتْ,أخرجت
تَأْمُرُونَ,تأمرون
وَتَنْهَوْنَ,وتنهون
وَتُؤْمِنُونَ,وتؤمنون
أَهْلُ,أهل
لَكَانَ,لكان
مِّنْهُمُ,منهم
وَأَكْثَرُهُمُ,وأكثرهم
يَضُرُّوكُمْ,يضروكم
يُوَلُّوكُمُ,يولوكم
ٱلْأَدْبَارَ,الأدبار
ضُرِبَتْ,ضربت
ثُقِفُوٓا۟,ثقفوا
بِحَبْلٍ,بحبل
وَحَبْلٍ,وحبل
ٱلْمَسْكَنَةُ,المسكنة
ٱلْأَنۢبِيَآءَ,الأنبياء
لَيْسُوا۟,ليسوا
سَوَآءً,سواء
قَآئِمَةٌ,قائمة
ءَانَآءَ,آناء
يَسْجُدُونَ,يسجدون
وَيُسَٰرِعُونَ,ويسارعون
يَفْعَلُوا۟,يفعلوا
يُكْفَرُوهُ,يكفروه
بِٱلْمُتَّقِينَ,بالمتقين
مَثَلُ,مثل
رِيحٍ,ريح
صِرٌّ,صر
أَصَابَتْ,أصابت
حَرْثَ,حرث
قَوْمٍ,قوم
فَأَهْلَكَتْهُ,فأهلكته
ظَلَمَهُمُ,ظلمهم
وَلَٰكِنْ,ولكن
بِطَانَةً,بطانة
دُونِكُمْ,دونكم
يَأْلُونَكُمْ,يألونكم
خَبَالًا,خبالا
وَدُّوا۟,ودوا
عَنِتُّمْ,عنتم
بَدَتِ,بدت
ٱلْبَغْضَآءُ,البغضاء
أَفْوَٰهِهِمْ,أفواههم
تُخْفِى,تخفي
صُدُورُهُمْ,صدورهم
أُو۟لَآءِ,أولاء
تُحِبُّونَهُمْ,تحبونهم
يُحِبُّونَكُمْ,يحبونكم
كُلِّهِۦ,كله
لَقُوكُمْ,لقوكم
عَضُّوا۟,عضوا
ٱلْأَنَامِلَ,الأنامل
ٱلْغَيْظِ,الغيظ
بِغَيْظِكُمْ,بغيظكم
بِذَاتِ,بذات
ٱلصُّدُورِ,الصدور
تَمْسَسْكُمْ,تمسسكم
حَسَنَةٌ,حسنة
تَسُؤْهُمْ,تسؤهم
تُصِبْكُمْ,تصبكم
سَيِّئَةٌ,سيئة
يَفْرَحُوا۟,يفرحوا
تَصْبِرُوا۟,تصبروا
يَضُرُّكُمْ,يضركم
كَيْدُهُمْ,كيدهم
مُحِيطٌ,محيط
غَدَوْتَ,غدوت
أَهْلِكَ,أهلك
تُبَوِّئُ,تبوئ
مَقَٰعِدَ,مقاعد
لِلْقِتَالِ,للقتال
هَمَّت,همت
طَّآئِفَتَانِ,طائفتان
تَفْشَلَا,تفشلا
وَلِيُّهُمَا,وليهما
فَلْيَتَوَكَّلِ,فليتوكل
نَصَرَكُمُ,نصركم
بِبَدْرٍ,ببدر
أَذِلَّةٌ,أذلة
تَقُولُ,تقول
أَلَن,ألن
يَكْفِيَكُمْ,يكفيكم
يُمِدَّكُمْ,يمدكم
رَبُّكُم,ربكم
بِثَلَٰثَةِ,بثلاثة
ءَالَٰفٍ,آلاف
مُنزَلِينَ,منزلين
بَلَىٰٓ,بلى
وَيَأْتُوكُم,ويأتوكم
فَوْرِهِمْ,فورهم
يُمْدِدْكُمْ,يمددكم
بِخَمْسَةِ,بخمسة
مُسَوِّمِينَ,مسومين
جَعَلَهُ,جعله
بُشْرَىٰ,بشرى
وَلِتَطْمَئِنَّ,ولتطمئن
ٱلنَّصْرُ,النصر
ٱلْعَزِيزِ,العزيز
لِيَقْطَعَ,ليقطع
طَرَفًا,طرفا
يَكْبِتَهُمْ,يكبتهم
فَيَنقَلِبُوا۟,فينقلبوا
خَآئِبِينَ,خائبين
ٱلْأَمْرِ,الأمر
يَتُوبَ,يتوب
يُعَذِّبَهُمْ,يعذبهم
فَإِنَّهُمْ,فإنهم
يَغْفِرُ,يغفر
تَأْكُلُوا۟,تأكلوا
أَضْعَٰفًا,أضعافا
مُّضَٰعَفَةً,مضاعفة
وَأَطِيعُوا۟,وأطيعوا
تُرْحَمُونَ,ترحمون
وَسَارِعُوٓا۟,وسارعوا
مَغْفِرَةٍ,مغفرة
وَجَنَّةٍ,وجنة
عَرْضُهَا,عرضها
ٱلسَّمَٰوَٰتُ,السماوات
وَٱلْأَرْضُ,والأرض
لِلْمُتَّقِينَ,للمتقين
ٱلسَّرَّآءِ,السراء
وَٱلْكَٰظِمِينَ,والكاظمين
ٱلْغَيْظَ,الغيظ
وَٱلْعَافِينَ,والعافين
فَعَلُوا۟,فعلوا
فَٰحِشَةً,فاحشة
ذَكَرُوا۟,ذكروا
فَٱسْتَغْفَرُوا۟,فاستغفروا
لِذُنُوبِهِمْ,لذنوبهم
ٱلذُّنُوبَ,الذنوب
يُصِرُّوا۟,يصروا
جَزَآؤُهُم,جزاؤهم
مَّغْفِرَةٌ,مغفرة
وَجَنَّٰتٌ,وجنات
وَنِعْمَ,ونعم
أَجْرُ,أجر
ٱلْعَٰمِلِينَ,العاملين
