Uthmani,Simple
خَلَقَكُمْ,خلقكم
قَبْلِكُمْ,قبلكم
لَعَلَّكُمْ,لعلكم
تَتَّقُونَ,تتقون
جَعَلَ,جعل
لَكُمُ,لكم
ٱلْأَرْضَ,الأرض
فِرَٰشًا,فراشا
وَٱلسَّمَآءَ,والسماء
بِنَآءً,بناء
وَأَنزَلَ,وأنزل
مِنَ,من
مَآءً,ماء
فَأَخْرَجَ,فأخرج
بِهِۦ,به
ٱلثَّمَرَٰتِ,الثمرات
رِزْقًا,رزقا
لَّكُمْ,لكم
فَلَا,فلا
تَجْعَلُوا۟,تجعلوا
أَندَادًا,أندادا
وَأَنتُمْ,وأنتم
تَعْلَمُونَ,تعلمون
وَإِن,وإن
كُنتُمْ,كنتم
رَيْبٍ,ريب
مِّمَّا,مما
نَزَّلْنَا,نزلنا
عَبْدِنَا,عبدنا
فَأْتُوا۟,فأتوا
بِسُورَةٍ,بسورة
مِّثْلِهِۦ,مثله
وَٱدْعُوا۟,وادعوا
شُهَدَآءَكُم,شهداءكم
دُونِ,دون
إِن,إن
صَٰدِقِينَ,صادقين
فَإِن,فإن
لَّمْ,لم
تَفْعَلُوا۟,تفعلوا
وَلَن,ولن
فَٱتَّقُوا۟,فاتقوا
ٱلنَّارَ,النار
ٱلَّتِى,التي
وَقُودُهَا,وقودها
وَٱلْحِجَارَةُ,والحجارة
أُعِدَّتْ,أعدت
لِلْكَٰفِرِينَ,للكافرين
وَبَشِّرِ,وبشر
وَعَمِلُوا۟,وعملوا
ٱلصَّٰلِحَٰتِ,الصالحات
أَنَّ,أن
جَنَّٰتٍ,جنات
تَجْرِى,تجري
تَحْتِهَا,تحتها
ٱلْأَنْهَٰرُ,الأنهار
كُلَّمَا,كلما
رُزِقُوا۟,رزقوا
مِنْهَا,منها
ثَمَرَةٍ,ثمرة
رِّزْقًا,رزقا
قَالُوا۟,قالوا
هَٰذَا,هذا
رُزِقْنَا,رزقنا
قَبْلُ,قبل
وَأُتُوا۟,وأتوا
مُتَشَٰبِهًا,متشابها
فِيهَآ,فيها
أَزْوَٰجٌ,أزواج
مُّطَهَّرَةٌ,مطهرة
وَهُمْ,وهم
فِيهَا,فيها
خَٰلِدُونَ,خالدون
يَسْتَحْىِۦٓ,يستحيي
أَن,أن
يَضْرِبَ,يضرب
مَثَلًا,مثلا
مَّا,ما
بَعُوضَةً,بعوضة
فَوْقَهَا,فوقها
فَأَمَّا,فأما
فَيَعْلَمُونَ,فيعلمون
أَنَّهُ,أنه
ٱلْحَقُّ,الحق
